regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
high_frob_low_ll__AND__high_disagreement_q75,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__high_disagreement_q85,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__high_ref_adv_q75,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__high_ref_adv_q85,2,25,80,12,11,4,0.23020063888799663,0.28121418497920625,0.0045372165616658355,False,0.007047340940912444
high_frob_low_ll__AND__very_high_disagreement,2,25,76,12,11,4,0.23020063888799663,0.28121418497920625,0.0004591298313165737,False,0.0
support_rank_top10__AND__high_frob_low_ll,2,25,36,12,11,4,0.23020063888799663,0.28121418497920625,-0.034525203755270795,False,0.0
to_basic__AND__high_disagreement_q85,2,63,210,8,5,4,0.020300102436476505,0.02777881788200942,0.04998702636542257,False,0.24668882911970577
to_basic__AND__high_ref_adv_q85,2,63,210,8,5,4,0.020300102436476505,0.02777881788200942,0.04998702636542257,False,0.24668882911970577
involves_special_residue__AND__very_high_disagreement,2,24,61,8,11,4,0.10273873022107803,0.2305030915124541,-0.007461829303569034,False,0.0
to_basic__AND__support_rank_top10,2,441,885,8,5,4,-0.20205917575335583,-0.11716154212474496,-0.04565775238576922,False,0.0
to_basic,1,441,1935,8,5,4,-0.20205917575335583,-0.11716154212474496,-0.051721431952171104,False,0.0
to_basic__AND__high_frob_q80,2,78,386,8,5,4,-0.058621474517441756,0.02428340638038359,-0.1324799481708645,False,0.0
to_basic__AND__high_frob_q75,2,102,487,8,5,4,-0.09287209931110868,-0.0010154232054779843,-0.1346562514359183,False,0.0
charge_flip__AND__high_frob_low_ll,2,12,33,7,4,4,0.2649010816631522,0.24508311132401256,0.02821647080990264,False,0.27449643521731837
charge_flip__AND__very_high_disagreement,2,23,65,7,9,4,0.16887955809952476,0.18954802148412722,0.00238523174546712,False,0.04440347570521053
high_frob_low_ll_and_special,1,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
involves_special_residue__AND__high_frob_low_ll,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
involves_special_residue__AND__high_frob_low_ll_and_special,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll__AND__high_frob_low_ll_and_special,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_frob_q75,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_frob_q80,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_disagreement_q75,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_disagreement_q85,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_ref_adv_q75,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
high_frob_low_ll_and_special__AND__high_ref_adv_q85,2,10,32,7,2,4,0.18467907372442305,0.2869642986189638,-0.022782448853800208,False,0.0
very_high_disagreement__AND__high_frob_low_ll_and_special,2,10,30,7,2,4,0.18467907372442305,0.2869642986189638,-0.02606527129656233,False,0.0
to_basic__AND__charge_flip,2,367,1491,7,4,4,-0.21176182440051533,-0.12087430022506944,-0.05456271873747054,False,0.0
support_rank_top10__AND__high_frob_low_ll_and_special,2,10,14,7,2,4,0.18467907372442305,0.2869642986189638,-0.06941553715978283,False,0.0
support_rank_top5__AND__high_frob_q80,2,224,275,20,24,3,-0.05123024813822993,0.019021327690497233,-0.027877495312306114,False,0.0
support_rank_top5__AND__high_frob_q75,2,280,369,20,24,3,-0.08449815014109116,-0.00558393056430408,-0.04416016302762425,False,0.0
support_rank_top5,1,1425,2718,20,24,3,-0.19675935434682312,-0.126873718754922,-0.060811021579375596,False,0.0
support_rank_top5__AND__support_rank_top10,2,1425,2718,20,24,3,-0.19675935434682312,-0.126873718754922,-0.060811021579375596,False,0.0
support_rank_top5__AND__high_disagreement_q75,2,347,382,19,24,3,-0.028369134157044597,-0.043671182862926344,0.04859242752523969,False,0.15147965338739153
support_rank_top5__AND__high_ref_adv_q75,2,347,382,19,24,3,-0.028369134157044597,-0.043671182862926344,0.04859242752523969,False,0.15147965338739153
support_rank_top5__AND__high_disagreement_q85,2,195,216,17,24,3,0.014701547395269266,0.013192911449005975,0.044746896109838355,False,0.11454408314676097
support_rank_top5__AND__high_ref_adv_q85,2,195,216,17,24,3,0.014701547395269266,0.013192911449005975,0.044746896109838355,False,0.11454408314676097
support_rank_top10__AND__low_ll_q50,2,1355,2560,13,43,3,-0.11410216587804083,-0.09035053298935602,0.03882442137928856,False,0.03364558950366445
