model_label,family_label,architecture_kind,rule_type,threshold,confidence_threshold,n_rule_on,fraction_rule_on,coverage_target,coverage_floor_pass,pathogenic_fraction_rule_on,pathogenic_fraction_rule_off,enrichment_gap,gap_ci_low,gap_ci_high,positive_with_rule,negative_with_rule,positive_without_rule,negative_without_rule,odds_ratio,random_gap_mean,random_gap_p95,random_gap_p05
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.15,,234,0.9176470588235294,13,True,0.452991452991453,0.42857142857142855,0.024420024420024444,-0.20453296703296703,0.24053724053724057,106,128,9,12,1.0905181241040345,0.00041971916971918487,0.18009768009768012,-0.18315018315018317
ProtBERT-BFD,bert_style,bidirectional_encoder,combined,0.15,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.15,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.15,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.15,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,0.2,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05791408992144409,0.23066814307203737,32,30,83,110,1.410130558555021,-0.0012953367875647658,0.10738759819488547,-0.12702657529667388
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.2,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.2,,216,0.8470588235294118,13,True,0.4351851851851852,0.5384615384615384,-0.10327635327635326,-0.2731570512820512,0.06659544159544162,94,122,21,18,0.6637873754152824,0.004638532763532765,0.1388888888888889,-0.13354700854700852
ProtBERT-BFD,bert_style,bidirectional_encoder,combined,0.2,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.2,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.2,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.2,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,0.25,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.056758733077051614,0.22150259067357483,32,30,83,110,1.410130558555021,-0.007581898713020221,0.12869797760320906,-0.1057161958883503
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.25,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.25,,200,0.7843137254901961,13,True,0.43,0.5272727272727272,-0.09727272727272723,-0.2500227272727273,0.05181818181818182,86,114,29,26,0.6786322255939605,-0.0022852272727272548,0.11252272727272619,-0.14363636363636362
ProtBERT-BFD,bert_style,bidirectional_encoder,combined,0.25,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.25,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.25,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProtBERT-BFD,bert_style,bidirectional_encoder,combined_confident,0.25,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ProGen2-small,progen,causal_decoder,chemistry_only,0.05,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05390272438575966,0.22490180511449098,32,30,83,110,1.410130558555021,-0.002520683603543369,0.10738759819488547,-0.12702657529667388
ProGen2-small,progen,causal_decoder,pair_only,0.05,,32,0.12549019607843137,13,True,0.71875,0.4125560538116592,0.3061939461883408,0.13200672645739908,0.4625875840807175,23,9,92,131,3.5166429587482217,-4.904708520179018e-05,0.16325672645739908,-0.12261771300448432
ProGen2-small,progen,causal_decoder,scalar_only,0.05,,217,0.8509803921568627,13,True,0.4976958525345622,0.18421052631578946,0.3134853262187728,0.16998847926267283,0.44312393887945667,108,109,7,31,4.161643835616438,0.002543657530924099,0.1294870240116406,-0.11945185544506431
